End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
06/30/2020,IBRD01870,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA ENERG. DE SAO PAULO,BR,Brazil,NPL,Fully Repaid,5.63,,P006224,JURUMIRIM HYDROELECT,13400000.00,36386.87,0.00,13363613.13,13363613.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1962,03/15/1978,01/22/1958,01/21/1958,09/20/1958,09/30/1963,
06/30/2020,IBRD02110,LATIN AMERICA AND CARIBBEAN,BR,Brazil,FURNAS - CENTRAIS ELETRICAS S.,BR,Brazil,NPL,Fully Repaid,5.75,,P006225,FURNAS HYDROELECTRIC,73000000.00,7.62,0.00,72999992.38,70400172.99,0.00,0.00,0.00,2599819.39,2599819.39,0.00,0.00,04/01/1964,10/01/1983,10/03/1958,10/03/1958,02/07/1959,01/31/1966,
06/30/2020,IBRD02290,LATIN AMERICA AND CARIBBEAN,BR,Brazil,BRASCAN LTD.,BR,Brazil,NPL,Fully Repaid,6,,P006226,POWER,11600000.00,0.00,0.00,11600000.00,11300000.00,0.00,0.00,0.00,300000.00,300000.00,0.00,0.00,03/01/1963,09/01/1978,06/17/1959,06/16/1959,09/02/1960,12/31/1964,
06/30/2020,IBRD04030,LATIN AMERICA AND CARIBBEAN,BR,Brazil,FURNAS - CENTRAIS ELETRICAS S.,BR,Brazil,NPL,Fully Repaid,5.5,,P006227,ESTREITO HYDROELECTR,57000000.00,0.00,0.00,57000000.00,56900000.00,0.00,0.00,0.00,100000.00,100000.00,0.00,0.00,07/01/1971,01/01/1990,02/26/1965,02/25/1965,07/08/1965,02/28/1977,
06/30/2020,IBRD04040,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA ENERG. DE SAO PAULO,BR,Brazil,NPL,Fully Repaid,5.5,,P006228,XAVANTES HYDROELECTR,22500000.00,2700000.00,0.00,19800000.00,19600000.00,0.00,0.00,0.00,200000.00,200000.00,0.00,0.00,05/01/1970,05/01/1990,02/26/1965,02/25/1965,04/07/1966,06/30/1975,
06/30/2020,IBRD04420,LATIN AMERICA AND CARIBBEAN,BR,Brazil,MINAS GERAIS - COMPANHIA ENERGETICA,BR,Brazil,NPL,Fully Repaid,6,,P006229,JAGUARA POWER,49000000.00,0.00,0.00,49000000.00,49000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/01/1971,04/01/1991,03/15/1966,03/08/1966,05/29/1967,12/31/1974,
06/30/2020,IBRD04741,LATIN AMERICA AND CARIBBEAN,BR,Brazil,FURNAS - CENTRAIS ELETRICAS S.,BR,Brazil,NPL,Fully Repaid,6,,P006234,ESTREITO H-ELECT POW,19000000.00,0.00,0.00,19000000.00,18555000.00,0.00,0.00,0.00,445000.00,445000.00,0.00,0.00,07/01/1971,07/01/1991,12/19/1966,12/13/1966,06/01/1967,02/28/1977,
06/30/2020,IBRD04742,LATIN AMERICA AND CARIBBEAN,BR,Brazil,FURNAS - CENTRAIS ELETRICAS S.,BR,Brazil,NPL,Fully Repaid,6.25,,P006234,ESTREITO H-ELECT POW,20000000.00,0.00,0.00,20000000.00,20000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/01/1972,07/01/1991,12/19/1966,12/13/1966,01/15/1969,02/28/1977,
06/30/2020,IBRD04750,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA BRASILEIRA DE ENERGI,BR,Brazil,NPL,Fully Repaid,6,,P006230,POWER DIST-PROGRAM A,6200000.00,671.24,0.00,6199328.76,6199328.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1972,02/15/1987,12/19/1966,12/13/1966,06/01/1967,06/30/1973,
06/30/2020,IBRD04760,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA PARANAENSE DE,BR,Brazil,NPL,Fully Repaid,6,,P006231,PWR DIST.-PROG.ABCD,8100000.00,249.28,0.00,8099750.72,8099750.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1972,02/15/1987,12/19/1966,12/13/1966,06/01/1967,06/30/1973,
06/30/2020,IBRD04770,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA PAULISTA DE FORCA E,BR,Brazil,NPL,Fully Repaid,6,,P006232,PWR DIST-PROG.ABCD I,41000000.00,130028.11,0.00,40869972.00,40004972.00,0.00,0.00,0.00,865000.00,865000.00,0.00,0.00,02/15/1972,02/15/1987,12/19/1966,12/13/1966,06/01/1967,12/31/1973,
06/30/2020,IBRD04780,LATIN AMERICA AND CARIBBEAN,BR,Brazil,MINAS GERAIS - COMPANHIA ENERGETICA,BR,Brazil,NPL,Fully Repaid,6,,P006233,PWR DIST-PROG.ABCD I,6300000.00,117.87,0.00,6299882.13,6299882.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1972,02/15/1987,12/19/1966,12/13/1966,06/01/1967,12/31/1972,
06/30/2020,IBRD05160,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,6,,P006235,LIVESTOCK,40000000.00,0.00,0.00,40000000.00,39625000.00,0.00,0.00,0.00,375000.00,375000.00,0.00,0.00,03/15/1974,03/15/1978,09/23/1967,09/14/1967,12/28/1967,12/31/1974,
06/30/2020,IBRD05260,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA,BR,Brazil,NPL,Fully Repaid,6.25,,P006236,ALCOMINAS ALUMINIUM,22000000.00,143386.17,0.00,21856613.83,21556613.83,0.00,0.00,0.00,300000.00,300000.00,0.00,0.00,08/15/1971,02/15/1983,01/26/1968,01/11/1968,08/01/1968,03/31/1971,
06/30/2020,IBRD05650,LATIN AMERICA AND CARIBBEAN,BR,Brazil,FURNAS - CENTRAIS ELETRICAS S.,BR,Brazil,NPL,Fully Repaid,6.5,,P006237,PORTO COLOMBIA HYDRO,22300000.00,147254.17,0.00,22152745.83,22152745.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,05/15/1975,11/15/1993,10/23/1968,10/15/1968,02/18/1969,12/31/1975,
06/30/2020,IBRD05660,LATIN AMERICA AND CARIBBEAN,BR,Brazil,MINAS GERAIS - COMPANHIA ENERGETICA,BR,Brazil,NPL,Fully Repaid,6.5,,P006238,VOLTA GRANDE HYDRO P,26600000.00,415453.07,0.00,26184546.93,26184546.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1975,08/15/1993,10/23/1968,10/15/1968,02/27/1969,06/30/1976,
06/30/2020,IBRD05670,LATIN AMERICA AND CARIBBEAN,BR,Brazil,DNER,BR,Brazil,NPL,Fully Repaid,6.5,,P006239,HIGHWAYS I,26000000.00,3154588.10,0.00,22845411.90,22795411.90,0.00,0.00,0.00,50000.00,50000.00,0.00,0.00,05/15/1973,11/15/1993,10/23/1968,10/15/1968,05/16/1969,03/31/1973,
06/30/2020,IBRD06560,LATIN AMERICA AND CARIBBEAN,BR,Brazil,BANCO DO NORDESTE DO BRASIL S.A.,BR,Brazil,NPL,Fully Repaid,7,,P006240,DFC-BANCO DO NORDEST,25000000.00,126220.37,0.00,24873779.63,24873779.63,0.00,0.01,0.01,0.00,0.00,0.00,0.00,02/15/1973,02/15/1987,02/16/1970,01/20/1970,08/31/1970,12/31/1975,
06/30/2020,IBRD06760,LATIN AMERICA AND CARIBBEAN,BR,Brazil,DNER,BR,Brazil,NPL,Fully Repaid,7,,P006242,HIGHWAYS II,100000000.00,0.00,0.00,100000000.00,100000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1974,09/01/1995,05/25/1970,03/31/1970,12/21/1970,07/31/1975,
06/30/2020,IBRD06770,LATIN AMERICA AND CARIBBEAN,BR,Brazil,FURNAS - CENTRAIS ELETRICAS S.,BR,Brazil,NPL,Fully Repaid,7,,P006241,MARIMBONDO POWER I,80000000.00,0.00,0.00,80000000.00,80000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1977,03/01/2000,05/25/1970,05/19/1970,09/29/1970,08/31/1978,
06/30/2020,IBRD07280,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CENTRAIS ELETRICAS DO SUL,BR,Brazil,NPL,Fully Repaid,7.25,,P006244,POWER-SALTO OSORIO,70000000.00,0.00,0.00,70000000.00,69110748.82,0.00,0.00,0.00,889251.18,889251.18,0.00,0.00,06/15/1977,12/15/1995,04/05/1971,03/30/1971,07/19/1971,05/31/1978,
06/30/2020,IBRD07550,LATIN AMERICA AND CARIBBEAN,BR,Brazil,MINISTERIO DE EDUCACAO E CULTURA,BR,Brazil,NPL,Fully Repaid,7.25,,P006243,EDUCATION I,8400000.00,0.00,0.00,8400000.00,8400000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,08/15/1981,02/15/2001,06/21/1971,03/30/1971,10/28/1971,06/30/1978,
06/30/2020,IBRD07560,LATIN AMERICA AND CARIBBEAN,BR,Brazil,PORTOBRAS,BR,Brazil,NPL,Fully Repaid,7.25,,P006245,PORTS I,45000000.00,196231.15,0.00,44803768.85,44453768.85,0.00,0.00,0.00,350000.00,350000.00,0.00,0.00,11/01/1976,05/01/1996,06/21/1971,05/25/1971,10/29/1971,09/30/1980,
06/30/2020,IBRD07570,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA DE SANEAMENTO BASICO - SAO PAU,BR,Brazil,NPL,Fully Repaid,7.25,,P006246,SAO PAULO WATER SUPP,22000000.00,0.00,0.00,22000000.00,22000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,05/01/1976,05/01/1996,06/21/1971,05/18/1971,01/13/1972,06/30/1977,
06/30/2020,IBRD07580,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA DE SANEAMENTO BASICO - SAO PAU,BR,Brazil,NPL,Fully Repaid,7.25,,P006246,SAO PAULO WATER SUPP,15000000.00,3000000.00,0.00,12000000.00,12000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,05/01/1976,05/01/1996,06/21/1971,05/18/1971,01/13/1972,06/30/1977,
06/30/2020,IBRD07860,LATIN AMERICA AND CARIBBEAN,BR,Brazil,REDE FERROVIARIA FEDERAL S. A,BR,Brazil,NPL,Fully Repaid,7.25,,P006253,RAILWAYS I,46000000.00,0.00,0.00,46000000.00,44911778.19,0.00,0.01,0.01,1088221.81,1088221.81,0.00,0.00,12/01/1975,06/01/1989,08/25/1971,08/03/1971,02/04/1972,03/31/1978,
06/30/2020,IBRD07870,LATIN AMERICA AND CARIBBEAN,BR,Brazil,MINERACOES BRASILEIRAS REUNIDA,BR,Brazil,NPL,Fully Repaid,7.25,,P006250,MBR IRON ORE,50000000.00,0.00,0.00,50000000.00,50000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1974,06/01/1986,08/25/1971,08/03/1971,02/04/1972,12/31/1976,
06/30/2020,IBRD07970,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA SIDERURGICA NACIONAL-RIO DE JA,BR,Brazil,NPL,Fully Repaid,7.25,,P006249,STEEL CSN,64500000.00,244567.96,0.00,64255432.04,64255432.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/01/1976,06/01/1987,02/08/1972,02/01/1972,08/31/1972,03/31/1978,
06/30/2020,IBRD08120,LATIN AMERICA AND CARIBBEAN,BR,Brazil,USINAS SIDERURGICAS DE MINAS,BR,Brazil,NPL,Fully Repaid,7.25,,P006248,STEEL-ENERGY SAVING,63000000.00,5118364.85,0.00,57881635.15,52387858.19,0.00,0.01,0.01,5493776.96,5493776.96,0.00,0.00,10/15/1976,10/15/1987,04/11/1972,04/04/1972,07/28/1972,06/01/1977,
06/30/2020,IBRD08130,LATIN AMERICA AND CARIBBEAN,BR,Brazil,DNER,BR,Brazil,NPL,Fully Repaid,7.25,,P006252,HIGHWAYS III,89000000.00,0.00,0.00,89000000.00,84224968.72,0.00,0.00,0.00,4775031.28,4775031.28,0.00,0.00,08/15/1976,02/15/1997,04/11/1972,03/14/1972,12/04/1972,03/31/1978,
06/30/2020,IBRD08280,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA SIDERURGICA PAULISTA-SAO PAULO,BR,Brazil,NPL,Fully Repaid,7.25,,P006247,STEEL-COSIPA,64500000.00,0.00,0.00,64500000.00,59411373.66,0.00,0.01,0.01,5088626.34,5088626.34,0.00,0.00,02/15/1977,02/15/1988,06/14/1972,05/30/1972,10/05/1972,05/01/1979,
06/30/2020,IBRD08290,LATIN AMERICA AND CARIBBEAN,BR,Brazil,MINAS GERAIS - COMPANHIA ENERGETICA,BR,Brazil,NPL,Fully Repaid,7.25,,P006251,POWER-SAO SIMAO,60000000.00,0.00,0.00,60000000.00,59499512.99,0.00,0.00,0.00,500487.01,500487.01,0.00,0.00,10/15/1979,04/15/2002,06/14/1972,05/16/1972,09/20/1972,09/30/1979,
06/30/2020,IBRD08530,LATIN AMERICA AND CARIBBEAN,BR,Brazil,SUPERTENDENCIA DO DESENVOLVIME,BR,Brazil,NPL,Fully Repaid,7.25,,P006254,LAND SETTLEMENT-MARA,6700000.00,0.00,0.00,6700000.00,6700000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/01/1977,06/01/1997,07/24/1972,07/06/1972,02/15/1973,12/31/1980,
06/30/2020,IBRD08540,LATIN AMERICA AND CARIBBEAN,BR,Brazil,DNER,BR,Brazil,NPL,Fully Repaid,7.25,,P006259,HIGHWAYS IV,51000000.00,0.00,0.00,51000000.00,48769060.29,0.00,0.00,0.00,2230939.71,2230939.71,0.00,0.00,02/15/1977,08/15/1997,08/14/1972,08/08/1972,03/29/1973,12/31/1976,
06/30/2020,IBRD08570,LATIN AMERICA AND CARIBBEAN,BR,Brazil,BANCO DO BRASIL S.A.,BR,Brazil,NPL,Fully Repaid,7.25,,P006256,GRAIN STORAGE,30000000.00,11775996.48,0.00,18224003.52,11823726.33,0.00,0.00,0.00,6400277.19,6400277.19,0.00,0.00,01/01/1978,07/01/1987,09/27/1972,09/05/1972,01/16/1973,12/31/1979,
06/30/2020,IBRD08680,LATIN AMERICA AND CARIBBEAN,BR,Brazil,BANCO CENTRAL DO BRASIL,BR,Brazil,NPL,Fully Repaid,7.25,,P006255,LIVESTOCK II,26000000.00,5505324.78,0.00,20494675.22,18505458.76,0.00,0.00,0.00,1989216.46,1989216.46,0.00,0.00,11/01/1976,05/01/1978,12/19/1972,12/19/1972,05/24/1973,06/30/1977,
06/30/2020,IBRD08870,LATIN AMERICA AND CARIBBEAN,BR,Brazil,SERVICOS DE ELECTRICIDADE S.A.,BR,Brazil,NPL,Fully Repaid,7.25,,P006258,POWER DISTRIBUTION,20000000.00,0.00,0.00,20000000.00,18614818.30,0.00,0.00,0.00,1385181.70,1385181.70,0.00,0.00,09/01/1976,03/01/1993,04/16/1973,04/10/1973,07/31/1973,12/31/1977,
06/30/2020,IBRD09230,LATIN AMERICA AND CARIBBEAN,BR,Brazil,FURNAS - CENTRAIS ELETRICAS S.,BR,Brazil,NPL,Fully Repaid,7.25,,P006260,POWER-ITUMBIARA,125000000.00,0.00,0.00,125000000.00,124789122.10,0.00,0.01,0.01,210877.93,210877.93,0.00,0.00,12/01/1980,06/01/2003,08/01/1973,07/05/1973,10/30/1973,12/31/1982,
06/30/2020,IBRD09240,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,7.25,,P006257,AGRIC. EXPORT INDUST,54000000.00,17801134.73,0.00,36198865.27,36010065.62,0.00,0.00,0.00,188799.65,188799.65,0.00,0.00,07/01/1978,01/01/1988,08/01/1973,06/28/1973,03/11/1974,06/30/1979,
06/30/2020,IBRD10080,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CO. HIDRO ELECTRICA,BR,Brazil,NPL,Fully Repaid,7.25,,P006261,POWER PAULO AFONSO I,81000000.00,1233973.39,0.00,79766026.61,79766026.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/01/1979,02/01/1994,06/17/1974,06/04/1974,04/15/1975,06/30/1983,
06/30/2020,IBRD10090,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,NPL,Fully Repaid,7.25,,P006262,W/SUPPLY-MINAS GERAI,36000000.00,0.00,0.00,36000000.00,36000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1977,03/01/1997,06/17/1974,06/04/1974,01/09/1975,08/15/1980,
06/30/2020,IBRD10670,LATIN AMERICA AND CARIBBEAN,BR,Brazil,DELEGADO DO MINISTERIO DE EDUC,BR,Brazil,NPL,Fully Repaid,8,,P006264,EDUCATION II,23500000.00,2854713.15,0.00,20645286.85,20645286.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1985,09/15/2004,12/27/1974,11/12/1974,04/17/1975,12/31/1982,
06/30/2020,IBRD10740,LATIN AMERICA AND CARIBBEAN,BR,Brazil,REDE FERROVIARIA FEDERAL S.A.,BR,Brazil,NPL,Fully Repaid,8,,P006267,RAILWAYS II RFFSA,175000000.00,988885.63,0.00,174011114.40,174011114.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/01/1980,12/01/1999,01/17/1975,01/14/1975,06/17/1975,12/31/1981,
06/30/2020,IBRD10750,LATIN AMERICA AND CARIBBEAN,BR,Brazil,DNER,BR,Brazil,NPL,Fully Repaid,8,,P006266,HIGHWAYS V,110000000.00,6142147.24,0.00,103857852.80,103857852.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1980,09/01/1994,01/17/1975,01/14/1975,05/15/1975,06/30/1984,
06/30/2020,IBRD11510,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA SIDERURGICA NACIONAL-RIO DE JA,BR,Brazil,NPL,Fully Repaid,8.5,,P006265,STEEL-CSN II,95000000.00,384051.75,0.00,94615948.25,94565948.25,0.00,0.00,0.00,50000.00,50000.00,0.00,0.00,09/01/1979,09/01/1990,08/04/1975,06/09/1975,04/30/1976,12/31/1982,
06/30/2020,IBRD11520,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA SIDERURGICA PAULISTA-SAO PAULO,BR,Brazil,NPL,Fully Repaid,8.5,,P006272,STEEL-COSIPA II,60000000.00,11349257.56,0.00,48650742.44,48650742.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/15/1979,12/15/1990,08/04/1975,07/22/1975,03/04/1976,12/30/1983,
06/30/2020,IBRD11530,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.5,,P006263,AGR.SAO FRANCISCO PO,23000000.00,0.00,0.00,23000000.00,21812930.32,0.00,-0.01,-0.01,1187069.68,1187069.68,0.00,0.00,11/15/1980,05/15/2000,08/04/1975,06/09/1975,11/25/1975,09/30/1983,
06/30/2020,IBRD11710,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA PAULISTA DE TRENS METROPOLITAN,BR,Brazil,NPL,Fully Repaid,8.5,,P006277,RAILWAYS III FEPASA,75000000.00,71201.34,0.00,74928798.66,74928798.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1981,09/15/2000,11/12/1975,10/21/1975,03/24/1976,09/30/1983,
06/30/2020,IBRD11950,LATIN AMERICA AND CARIBBEAN,BR,Brazil,BANCO CENTRAL DO BRASIL,BR,Brazil,NPL,Fully Repaid,8.5,,P006268,R.D.I-RIO GRANDE NOR,12000000.00,766243.22,0.00,11233756.78,11233756.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/01/1981,07/01/2000,03/01/1976,12/11/1975,07/30/1976,09/30/1984,
06/30/2020,IBRD12060,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.5,,P006270,DFC-MEDIUM & SMALL I,85000000.00,53843138.72,0.00,31156861.28,29314791.89,0.00,0.00,0.00,1842069.39,1842069.39,0.00,0.00,02/15/1979,08/15/1987,03/01/1976,02/10/1976,08/26/1976,12/31/1980,
06/30/2020,IBRD12070,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.5,,P006276,SECONDARY & FEEDER R,21425291.56,0.00,0.00,21425291.56,21425291.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1981,09/15/1991,03/01/1976,02/10/1976,07/13/1976,11/20/1981,
06/30/2020,IBRD12075,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,8.5,,P006276,SECONDARY & FEEDER R,33574708.44,5477400.04,0.00,28097308.40,28097308.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1981,09/15/1991,08/24/1981,02/10/1976,11/20/1981,06/30/1984,
06/30/2020,IBRD12490,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.5,,P006269,AGRIC. RESEARCH I,40000000.00,0.00,0.00,40000000.00,40000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1981,03/01/1996,06/23/1976,04/27/1976,09/21/1976,06/30/1983,
06/30/2020,IBRD12560,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ULTRAFERTIL IND. COM. FERTIL.,BR,Brazil,NPL,Fully Repaid,8.5,,P006271,FERTILIZER I,50000000.00,0.00,0.00,50000000.00,50000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1981,08/15/1991,05/19/1976,05/11/1976,07/20/1976,12/31/1980,
06/30/2020,IBRD12570,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA PARANAENSE DE,BR,Brazil,NPL,Fully Repaid,8.5,,P006275,COPEL POWER DISTRIBU,52000000.00,5754055.14,0.00,46245944.86,46245944.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1980,02/15/1996,05/19/1976,05/11/1976,08/17/1976,10/31/1980,
06/30/2020,IBRD13000,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,NPL,Fully Repaid,8.85,,P006274,N.E. POWER DISTRIBUT,50000000.00,223858.17,0.00,49776141.83,48776141.83,0.00,0.00,0.00,1000000.00,1000000.00,0.00,0.00,02/01/1980,02/01/1996,08/27/1976,06/24/1976,01/31/1977,06/30/1982,
06/30/2020,IBRD13020,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,8.85,,P006273,NUTRITION I,19000000.00,0.00,0.00,19000000.00,19000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,08/15/1981,02/15/1994,10/01/1976,06/24/1976,12/30/1976,06/30/1983,
